id,mission,position,deck,type,tags,title,blocka,blockb,blockc,blockd,text
NORTH13,"North Oaks",2,"The Necromancer's Tomb","Obstacle","Foe, Undead","Restless Dead","Hindrance: 1","Action: Test (Combat). For every success, discard one Restless Dead at this location and gain +1 Experience.","(GANG) +1 Discord. Defense: Combat. If in staging area, move to occupied North Oaks location.",,

NORTH14,"North Oaks",,"Encounter","Hand","Resource","Timber Source","Interrupt: +1 Timber. Roll dice and add to pool.",,,,
NORTH15,"North Oaks",,"Encounter","Hand","Resource","Timber Source","Interrupt: +1 Timber. Roll dice and add to pool.",,,,
NORTH16,"North Oaks",,"Encounter","Hand","Resource","Timber Source","Interrupt: +1 Timber. Roll dice and add to pool.",,,,
NORTH17,"North Oaks",,"Encounter","Hand","Resource","Ore Source","Interrupt: +1 Ore. Roll dice and add to pool.",,,,
NORTH18,"North Oaks",,"Encounter","Hand","Resource","Mana Source","Interrupt: +1 Mana. Roll dice and add to pool.",,,,
NORTH19,"North Oaks",,"Encounter","Hand","Conquest","Engines of Progress","Interrupt: Place progress in any wilderness location or attachment equal to Conquest.",,,,
NORTH20,"North Oaks",,"Encounter","Event","Beast","Forest Boar","Immediate: Test (Combat 1). Failure: Weary.",,,,
NORTH21,"North Oaks",,"Encounter","Event","Environment","Rocky Terrain","Immediate: Test (Survival 1). Success: +1 Fortune. Failure: +2 Discord.",,,,
NORTH22,"North Oaks",,"Encounter","Event","Environment","Storms","Immediate: Test (Survival 1). Success: +1 Fortune. Failure: +2 Discord.",,,,
NORTH23,"North Oaks",,"Encounter","Obstacle","Foe, Undead","Restless Dead","Hindrance: 1","Action: Test (Combat). For every success, discard one Restless Dead at this location and gain +1 Experience.","(GANG) +1 Discord. Defense: Combat. If in staging area, move to occupied North Oaks location.",,
NORTH24,"North Oaks",,"Encounter","Obstacle","Foe, Undead","Restless Dead","Hindrance: 1","Action: Test (Combat). For every success, discard one Restless Dead at this location and gain +1 Experience.","(GANG) +1 Discord. Defense: Combat. If in staging area, move to occupied North Oaks location.",,
NORTH25,"North Oaks",,"Encounter","Obstacle","Foe, Undead","Restless Dead","Hindrance: 1","Action: Test (Combat). For every success, discard one Restless Dead at this location and gain +1 Experience.","(GANG) +1 Discord. Defense: Combat. If in staging area, move to occupied North Oaks location.",,
NORTH26,"North Oaks",,"Encounter","Obstacle","Foe, Undead","Restless Dead","Hindrance: 1","Action: Test (Combat). For every success, discard one Restless Dead at this location and gain +1 Experience.","(GANG) +1 Discord. Defense: Combat. If in staging area, move to occupied North Oaks location.",,
NORTH27,"North Oaks",,"Encounter","Attachment","Effect, Environment","Grueling Wilds","Placement: On character at North Oaks location with lowest Survival.","(DOOM) Test (Survival 1). Failure: Weary.",,,
NORTH28,"North Oaks",,"Encounter","Event","Rumor","The Last Necromancer","Immediate: +1 Fortune","Blah  Blah Blah Blah Blah Blah Blah Blah Blah Blah Blah Blah Blah Blah Blah",,,
NORTH29,"North Oaks",,"Encounter","Event","Rumor","The Standing Stone","Immediate: +1 Fortune",,,,
NORTH30,"North Oaks",,"Encounter","Event","Conquest","Exploration Force","Interrupt: Gain Fortune equal to Conquest.",,,,
