id,title,text,action,success,failure,result
EVAL42,"Talkative Guide",,"Solo Survival: 3","Success: +2 Fortune.","Failure: Embarrassed.",

EVAL43,"Behind Closed Doors",,"Solo Command: 4",,"Failure: Angry.",
EVAL44,"Underworld Contacts",,"Solo Thievery: 4","Success: +2 Espionage.",,
EVAL45,"Funny Cantrips",,"Solo Lore: 3","Success: +2 Fortune.","Failure: Embarrassed.",
EVAL46,"Accelerated Timetable",,"(Optional. Spend 4 ore.)",,,"Result: Draw development card."

EVAL47,"Military Plans",,"Solo Tactics: 3",,"Failure: Embarrassed.",
EVAL48,"Summer Solstice Tournament",,"(Summer) Group Combat: 6","Success: +2 Military.",,
EVAL49,"Lack of Preparation",,"Lowest Rapport: 4",,"Failure: Character returns to Red Bank.",
EVAL50,"Everyone's Invited",,"(Optional. Spend 8 food.)",,,"Result: +4 fortune."

EVAL51,"At Council",,"Lowest Command: 4",,"Failure: Embarrassed.",
EVAL52,"Delicate Ritual",,"Solo Lore: 4","Success: +2 Sorcery.",,
EVAL53,"Dirty Secrets",,"Solo Disguise: 4",,"Failure: Embarrassed.",
EVAL54,"Shared Sorcery",,"(Optional. Spend 3 mana.)",,,"Result: Draw asset."

EVAL55,"Difficult Decisions",,"Group Command: 6",,"Failure: All characters are embarrassed.",
EVAL56,"Reading the Maps",,"Group Command: 6","Success: +2 Conquest.",,
EVAL57,"A Stunning Plot",,"Group Tactics: 6",,"Failure: +1 Apotheosis.",
EVAL58,"Loved Ones in Need",,"(Optional. Spend 3 ore.) Solo Rapport: 3","Success: Remove angry condition on any other character.","Failure: Embarrassed.",

EVAL59,"Entertaining Guests",,"Group Rapport: 6",,"Failure: All characters are embarrassed.",
EVAL60,"Rid of them Forever!",,"Group Rapport: 7","Success: +2 Stability.",,
