region,trigger,name,tags,threats,skill,defense,overcome,difficulty,attack,bodytext,@mission_image
"xxSETTLED","xxSUMMER","Wine and Roses","Issue","##NBSP##xxDIPLOMACY##NBSP##xxSORCERY##NBSP##",xxRAPPORT,"##NBSP##xxFOURxxFOUR##NBSP##","xxOVERCOME","1","##NBSP##xxBODYxxBODY##NBSP##","xxOVERCOME All characters in region take xxPSYCHE equal to xxDIPLOMACY threat level.","..\images\obstacles\wine_and_roses_exellero.jpg"
"xxSETTLED","xxSPRING","Taichu","Diplomat","##NBSP##xxDIPLOMACY##NBSP##",xxCOMBAT,"##NBSP##xxTHREExxFOUR##NBSP##","xxOVERCOME","1","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxRIGHT Move Taichu to any port location. All characters at this location take 2 xxPSYCHE.","..\images\obstacles\mongol_ruler.jpg"
"xxEMPIRE","xxSPRING","Orb of Seeing","Trap, Eldritch","##NBSP##xxSORCERY##NBSP##",xxLORE,"##NBSP##xxSIX##NBSP##","xxOVERCOME","1","##NBSP##xxBODYxxBODY##NBSP##","xxRIGHT Move to location with lowest xxLORE character. Each character in this region takes xxPSYCHE equal to xxSORCERY threat level.","..\images\obstacles\dark_orb.jpg"

"xxEMPIRE","xxSUMMER","Poison","Trap","##NBSP##xxTECHNOLOGY##NBSP##",xxTHIEVERY,"##NBSP##xxONExxTWOxxTHREE##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODY##NBSP##","xxRIGHT Move to location with highest xxCOMMAND character. All characters at this location take xxBODY equal to xxTECHNOLOGY threat level. Discard.","..\images\obstacles\mike_capprotti_schemes_of_the_scholar.jpg"
"xxSETTLED","xxSPRING","Secrets and Lies","Diplomat","##NBSP##xxESPIONAGE##NBSP##xxSTABILITY##NBSP##",xxTHIEVERY,"##NBSP##xxONExxTWOxxFOUR##NBSP##","xxOVERCOME","2","##NBSP##xxPSYCHExxPSYCHExxPSYCHE##NBSP##","All spies and guards in play do +1 xxPSYCHE.","..\images\obstacles\secrets_and_lies.jpg"
"xxEMPIRE","xxFALL","Lightning Chamber","Trap","##NBSP##xxESPIONAGE##NBSP##",xxSURVIVAL,"##NBSP##xxONExxONExxONE##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODY##NBSP##","Characters with xxSURVIVAL < 4 moving into this location take 3 xxBODY.","..\images\obstacles\weird_orb.jpg"
"xxEMPIRE","xxFALL","Imperial Guard Captain","Guard, Foe","##NBSP##xxESPIONAGE##NBSP##",xxDISGUISE,"##NBSP##xxTWOxxTWOxxTWO##NBSP##","xxOVERCOME","2","##NBSP##xxPSYCHExxPSYCHE##NBSP##","Movement from this location costs +1 die. YYY xxRIGHT Move to port location in xxEMPIRE.","..\images\obstacles\guard_captain.jpg"
"xxEMPIRE","xxFALL","Praetorians","Unit","##NBSP##xxMILITARY##NBSP##",xxTACTICS,"##NBSP##xxTHREExxFIVE##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODYxxBODY##NBSP##","If at xxREDBANK location, counts for 2 xxMILITARY threats. YYY xxRIGHT Move to xxMILITARY location in xxREDBANK. All characters at this location take xxBODY equal to xxMILITARY threat level.","..\images\obstacles\praetorians_color.jpg"
"xxREDBANK","xxSUMMER","Spy Unmasked","Spy","##NBSP##xxMILITARY##NBSP##xxESPIONAGE##NBSP##",xxTHIEVERY,"##NBSP##xxTWOxxTWO##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODYxxBODY##NBSP##","xxOVERCOME Discard any spy or guard. YYY xxRIGHT Remove all dice from xxESPIONAGE pool and discard.","..\images\obstacles\lannisport_spy_patrick_keith.jpg"
"xxEMPIRE","xxSUMMER","Praetorians","Unit","##NBSP##xxMILITARY##NBSP##",xxTACTICS,"##NBSP##xxTHREExxFIVE##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODYxxBODY##NBSP##","If at xxREDBANK location, counts for 2 xxMILITARY threats. YYY xxRIGHT Move to xxMILITARY location in xxREDBANK. All characters at this location take xxBODY equal to xxMILITARY threat level.","..\images\obstacles\praetorians_color.jpg"
"xxREDBANK","xxFALL","Star-Crossed","Issue","##NBSP##xxDIPLOMACY##NBSP##",xxRAPPORT,"##NBSP##xxFOURxxFOUR##NBSP##","xxOVERCOME","2","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxRIGHT All characters in region take xxPSYCHE equal to xxDIPLOMACY threat level. Set the value of all dice in the xxDIPLOMACY pool to xxSIX.","..\images\obstacles\james-suret-ai-star-crossed.jpg"
"xxSETTLED","xxSUMMER","Radia","Diplomat","##NBSP##xxDIPLOMACY##NBSP##",xxRAPPORT,"##NBSP##xxFOUR##NBSP##","xxOVERCOME","2","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxRIGHT Characters at this location take 1 xxPSYCHE and then may move to any other location.","..\images\obstacles\shadow_warrior.jpg"
"xxSETTLED","xxSUMMER","Looking West","Issue","##NBSP##xxDIPLOMACY##NBSP##",xxTACTICS,"##NBSP##xxTHREE##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODY##NBSP##","xxOVERCOME Discard one unit. YYY xxRIGHT Remove all xxSTABILITY assets in the game and discard.","..\images\obstacles\warhammer_city.jpg"
"xxSETTLED","xxSPRING","Tradition, or Reform?","Issue","##NBSP##xxSTABILITY##NBSP##",xxCOMMAND,"##NBSP##xxFIVExxFIVE##NBSP##","xxOVERCOME","2","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxRIGHT All characters in this location take xxPSYCHE equal to xxSTABILITY threat level.","..\images\obstacles\noble.jpg"
"xxREDBANK","xxSPRING","Angry Mob","Mob, Foe","##NBSP##xxSTABILITY##NBSP##",xxCOMMAND,"##NBSP##xxTHREExxFIVE##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODY##NBSP##","xxRIGHT All characters in this region take xxBODY equal to xxSTABILITY threat level.","..\images\obstacles\odinoir_angry_mob.jpg"
"xxREDBANK","xxFALL","Angry Mob","Mob, Foe","##NBSP##xxSTABILITY##NBSP##",xxCOMMAND,"##NBSP##xxTHREExxFIVE##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODY##NBSP##","xxRIGHT All characters in this region take xxBODY equal to xxSTABILITY threat level.","..\images\obstacles\odinoir_angry_mob.jpg"
"xxREDBANK","xxSUMMER","Angry Mob","Mob, Foe","##NBSP##xxSTABILITY##NBSP##",xxCOMMAND,"##NBSP##xxTHREExxFIVE##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODY##NBSP##","xxRIGHT All characters in this region take xxBODY equal to xxSTABILITY threat level.","..\images\obstacles\odinoir_angry_mob.jpg"
"xxREDBANK","xxSPRING","Bandit Camp","Foe","##NBSP##xxSTABILITY##NBSP##xxMILITARY##NBSP##",xxCOMBAT,"##NBSP##xxTWOxxTHREE##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODYxxBODY##NBSP##","xxRIGHT One character in this region takes 4 xxBODY and discard.","..\images\obstacles\bandit_camp.jpg"
"xxREDBANK","xxSPRING","Culture Clash","Issue","##NBSP##xxSTABILITY##NBSP##",xxCOMMAND,"##NBSP##xxFIVE##NBSP##","xxOVERCOME","2","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxRIGHT Move to location with lowest xxCOMMAND character. All characters at location take xxPSYCHE equal to xxSTABILITY threat level.","..\images\obstacles\plans_and_drinks_felicia_cano.jpg"
"xxREDBANK","xxSPRING","Eldritch Signs","Eldritch","##NBSP##xxSTABILITY##NBSP##",xxSURVIVAL,"##NBSP##xxONExxSIX##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODY##NBSP##","Characters with xxLORE < 4 moving into this location take 2 xxBODY. YYY xxRIGHT Remove lowest die from xxSORCERY pool.","..\images\obstacles\dungeon_mouth.jpg"
"xxSETTLED","xxWINTER","Repeating Histories","Issue","##NBSP##xxSORCERY##NBSP##",xxLORE,"##NBSP##xxSIX##NBSP##","xxOVERCOME","2","##NBSP##xxPSYCHExxPSYCHE##NBSP##","Progress cards using xxSORCERY dice may not be completed while this is in play.","..\images\obstacles\rhys-griffiths-potionshop-dark.jpg"

"xxREDBANK","xxWINTER","Field Work","Exploration, Weather","##NBSP##xxTECHNOLOGY##NBSP##",xxSURVIVAL,"##NBSP##xxONExxSIX##NBSP##","xxOVERCOME","3","##NBSP##xxBODYxxBODY##NBSP##","Characters at this location may take xxTECHNOLOGY dice from resource pool and use them as action dice.","..\images\obstacles\big_lizard_by_daveybaker.jpg"
"xxREDBANK","xxWINTER","Eight Ears","Foe","##NBSP##xxTECHNOLOGY##NBSP##",xxCOMBAT,"##NBSP##xxONExxTHREExxSIX##NBSP##","xxOVERCOME","3","##NBSP##xxFLAKE##NBSP##","xxRIGHT Place lowest die from xxTECHNOLOGY pool onto card. YYY xxFLAKE Does xxBODY damage equal to total value of all dice on card or 3, whichever is higher.","..\images\obstacles\werelion.jpg"
"xxEMPIRE","xxSPRING","Catapults","Unit","##NBSP##xxMILITARY##NBSP##xxTECHNOLOGY##NBSP##",xxTACTICS,"##NBSP##xxONExxTHREE##NBSP##","xxOVERCOME","3","##NBSP##xxBODYxxBODYxxBODYxxBODY##NBSP##","If at xxREDBANK location, counts for 2 xxMILITARY threats. YYY xxRIGHT Move to xxMILITARY location in xxREDBANK. All characters at this location take xxBODY equal to xxMILITARY threat level.","..\images\obstacles\yuolden_medieval_catapult.jpg"
"xxSETTLED","xxFALL","Catapults","Unit","##NBSP##xxMILITARY##NBSP##xxTECHNOLOGY##NBSP##",xxTACTICS,"##NBSP##xxONExxTHREE##NBSP##","xxOVERCOME","3","##NBSP##xxBODYxxBODYxxBODYxxBODY##NBSP##","If at xxREDBANK location, counts for 2 xxMILITARY threats. YYY xxRIGHT Move to xxMILITARY location in xxREDBANK. All characters at this location take xxBODY equal to xxMILITARY threat level.","..\images\obstacles\yuolden_medieval_catapult.jpg"
"xxEMPIRE","xxWINTER","Background Checks","Guard, Foe","##NBSP##xxESPIONAGE##NBSP##",xxDISGUISE,"##NBSP##xxTWOxxTWO##NBSP##","xxOVERCOME","3","##NBSP##xxPSYCHExxPSYCHExxPSYCHE##NBSP##","All guards in this location do +1 xxPSYCHE. YYY xxRIGHT Move to location with the most guards.","..\images\obstacles\sword_fighter.jpg"
"xxSETTLED","xxSUMMER","Allocating Funds","Issue","##NBSP##xxESPIONAGE##NBSP##",xxRAPPORT,"##NBSP##xxFOUR##NBSP##","xxOVERCOME","3","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxRIGHT Remove lowest xxTECHNOLOGY die from pool.","..\images\obstacles\merchant.jpg"
"xxEMPIRE","xxWINTER","Encoded Plans","Spy","##NBSP##xxMILITARY##NBSP##xxESPIONAGE##NBSP##",xxTACTICS,"##NBSP##xxTWOxxTHREE##NBSP##","xxOVERCOME","3","##NBSP##xxPSYCHExxPSYCHE##NBSP##","All units in this region do +1 xxBODY. YYY xxRIGHT Move to location with the most units.","..\images\obstacles\piotr_uzdowski_scroll_wisdom.jpg"
"xxEMPIRE","xxWINTER","Forward Shelters","Development","##NBSP##xxMILITARY##NBSP##",xxSURVIVAL,"##NBSP##xxONExxONE##NBSP##","xxOVERCOME","3","##NBSP##xxBODYxxBODY##NBSP##","xxOVERCOME Place 2 xxMILITARY assets at this location. YYY xxRIGHT All characters in this region take xxBODY equal to xxMILITARY threat level.","..\images\obstacles\winslow_homer_camp.jpg"
"xxSETTLED","xxWINTER","Deadly Device","Development","##NBSP##xxMILITARY##NBSP##",xxRAPPORT,"##NBSP##xxONE##NBSP##","xxOVERCOME","3","##NBSP##xxBODYxxBODY##NBSP##","xxOVERCOME Move a unit to any location. YYY xxRIGHT Remove all dice from xxTECHNOLOGY resource pool and discard.","..\images\obstacles\magic_trap.jpg"
"xxREDBANK","xxSUMMER","Rousing Speech","Resistance","##NBSP##xxDIPLOMACY##NBSP##",xxCOMMAND,"##NBSP##xxFIVExxFIVExxFIVE##NBSP##","xxOVERCOME","3","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxOVERCOME Take xxPSYCHE equal to xxSTABILITY threat level and lower xxSTABILITY threat track by one step. YYY xxRIGHT All characters in this region take xxPSYCHE equal to xxSTABILITY threat level. Discard.","..\images\obstacles\rousing_speech_nicholaskay.jpg"
"xxSETTLED","xxSPRING","Agents of Chaos","Spy","##NBSP##xxDIPLOMACY##NBSP##xxESPIONAGE##NBSP##",xxSURVIVAL,"##NBSP##xxONExxONE##NBSP##","xxOVERCOME","3","##NBSP##xxBODY##NBSP##","xxRIGHT All characters in region take 2 xxPSYCHE and 2 additional xxPSYCHE for each issue in play.","..\images\obstacles\alexandra-kononenko.jpg"
"xxSETTLED","xxSPRING","The Weaver","Foe, Eldritch","##NBSP##xxDIPLOMACY##NBSP##xxSORCERY##NBSP##",xxCOMBAT,"##NBSP##xxFIVExxSIX##NBSP##","xxOVERCOME","3","##NBSP##xxBODYxxBODY##NBSP##","xxRIGHT Move to xxREDBANK or xxSETTLED location with lowest xxSORCERY character. All characters at this location take xxPSYCHE equal to xxSORCERY threat level.","..\images\obstacles\the_weaver_lazauski.jpg"
"xxREDBANK","xxFALL","Territorial Dispute","Issue","##NBSP##xxSTABILITY##NBSP##xxDIPLOMACY##NBSP##",xxRAPPORT,"##NBSP##xxFOUR##NBSP##","xxOVERCOME","3","##NBSP##xxPSYCHE##NBSP##","xxRIGHT Move to location with most assets and remove them all.","..\images\obstacles\saltmarsh_council.png"
"xxREDBANK","xxSPRING","The Forgotten Dead","Issue","##NBSP##xxSTABILITY##NBSP##",xxCOMMAND,"##NBSP##xxFIVE##NBSP##","xxOVERCOME","3","##NBSP##xxPSYCHExxPSYCHExxPSYCHE##NBSP##","xxRIGHT Set all dice in xxSTABILITY pool to 1 and discard.","..\images\obstacles\grave_rene_aigner.jpg"
"xxEMPIRE","xxFALL","Prismatic Lotus","Trap, Eldritch","##NBSP##xxSORCERY##NBSP##",xxTHIEVERY,"##NBSP##xxONExxSIX##NBSP##","xxOVERCOME","3","##NBSP##xxBODYxxBODY##NBSP##","Movement from this location costs +1 die. YYY xxRIGHT Place xxSORCERY asset at this location.","..\images\obstacles\rogier_van_de_beek_lotus.jpg"

"xxREDBANK","xxSUMMER","Ambush!","Foe","##NBSP##xxMILITARY##NBSP##xxTECHNOLOGY##NBSP##",xxCOMBAT,"##NBSP##xxTWOxxTWO##NBSP##","xxOVERCOME","4","##NBSP##xxBODYxxBODY##NBSP##","xxRIGHT One character in this region takes 3 xxBODY. Discard.","..\images\obstacles\thalmor_agent_janonna.jpg"
"xxREDBANK","xxFALL","Remote Influence","Spy","##NBSP##xxMILITARY##NBSP##xxTECHNOLOGY##NBSP##",xxSURVIVAL,"##NBSP##xxONExxONExxTWO##NBSP##","xxOVERCOME","4","##NBSP##xxBODYxxBODYxxBODY##NBSP##","xxRIGHT All characters in this region take 2 xxPSYCHE.","..\images\obstacles\murder_in_the_snow_hazem.jpg"
"xxREDBANK","xxWINTER","The Amber Hand","Conspiracy","##NBSP##xxTECHNOLOGY##NBSP##xxMILITARY##NBSP##",xxCOMMAND,"##NBSP##xxTHREExxFOURxxFIVE##NBSP##","xxOVERCOME","4","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxRIGHT All characters in region take 2 xxPSYCHE and 1 extra xxPSYCHE for each issue or mob in play.","..\images\obstacles\katrina_latve_scorched.jpg"
"xxEMPIRE","xxFALL","Breakout!","Guard","##NBSP##xxESPIONAGE##NBSP##xxESPIONAGE##NBSP##",xxCOMBAT,"##NBSP##xxTWOxxTWO##NBSP##","xxOVERCOME","4","##NBSP##xxBODYxxBODYxxBODYxxBODY##NBSP##","xxRIGHT Remove all dice from xxESPIONAGE resource pool.","..\images\obstacles\dungeon_cell.jpg"
"xxEMPIRE","xxWINTER","Nalah","Diplomat","##NBSP##xxDIPLOMACY##NBSP##xxDIPLOMACY##NBSP##",xxCOMMAND,"##NBSP##xxFOURxxFIVE##NBSP##","xxOVERCOME","4","##NBSP##xxPSYCHExxPSYCHE##NBSP##","All units in this region do +1 xxBODY. YYY xxRIGHT Remove lowest xxDIPLOMACY die from pool.","..\images\obstacles\nalah_color.jpg"
"xxEMPIRE","xxWINTER","The Subtect","Diplomat","##NBSP##xxDIPLOMACY##NBSP##xxESPIONAGE##NBSP##",xxDISGUISE,"##NBSP##xxFOURxxFIVE##NBSP##","xxOVERCOME","4","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxRIGHT Move to xxEMPIRE or xxSETTLED location with the most asset dice. Remove all asset dice from location.","..\images\obstacles\thelonious_color.jpg"
"xxREDBANK","xxSUMMER","Animaelic Echoes","Eldritch","##NBSP##xxSORCERY##NBSP##xxSTABILITY##NBSP##",xxLORE,"##NBSP##xxSIX##NBSP##","xxOVERCOME","4","##NBSP##xxBODYxxBODYxxBODY##NBSP##","xxRIGHT All characters in this region take 2 xxPSYCHE for each xxSIX in xxSORCERY pool.","..\images\obstacles\fantasy_storm.jpg"
"xxREDBANK","xxSUMMER","Animaelic Echoes","Eldritch","##NBSP##xxSORCERY##NBSP##xxSTABILITY##NBSP##",xxLORE,"##NBSP##xxSIX##NBSP##","xxOVERCOME","4","##NBSP##xxBODYxxBODYxxBODY##NBSP##","xxRIGHT All characters in this region take 2 xxPSYCHE for each xxSIX in xxSORCERY pool.","..\images\obstacles\fantasy_storm.jpg"
"xxSETTLED","xxFALL","Appease the Old Ones","Issue","##NBSP##xxSTABILITY##NBSP##xxSORCERY##NBSP##",xxRAPPORT,"##NBSP##xxTHREExxSIX##NBSP##","xxOVERCOME","4","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxRIGHT Remove all xxSTABILITY assets from play.","..\images\obstacles\egil-thompson-achelous.jpg"
"xxSETTLED","xxSPRING","Northern Patrol","Issue","##NBSP##xxSTABILITY##NBSP##xxTECHNOLOGY##NBSP##",xxSURVIVAL,"##NBSP##xxTHREExxFIVE##NBSP##","xxOVERCOME","4","##NBSP##xxBODYxxBODY##NBSP##","xxRIGHT If no characters are at this location, remove lowest die from xxSTABILITY pool.","..\images\obstacles\greg-rutkowski-gumrox-1920.jpg"
"xxSETTLED","xxSPRING","Lost in Translation","Issue","##NBSP##xxDIPLOMACY##NBSP##xxSTABILITY##NBSP##",xxRAPPORT,"##NBSP##xxFOUR##NBSP##","xxOVERCOME","4","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxRIGHT Move to xxREDBANK or xxSETTLED location with most asset dice. Reroll all asset dice at this location.","..\images\obstacles\dnd_argument.jpg"
"xxSETTLED","xxWINTER","Order of the Blue Robes","Issue, Eldritch","##NBSP##xxSORCERY##NBSP##xxDIPLOMACY##NBSP##",xxLORE,"##NBSP##xxSIX##NBSP##","xxOVERCOME","4","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxRIGHT Remove all dice from the xxSORCERY resource pool.","..\images\obstacles\the_wheel_weaves_as_the_wheel_wills_chazillah.jpg"
"xxSETTLED","xxFALL","Battle Plans","Issue","##NBSP##xxMILITARY##NBSP##xxTECHNOLOGY##NBSP##",xxTACTICS,"##NBSP##xxTHREE##NBSP##","xxOVERCOME","4","##NBSP##xxBODYxxBODY##NBSP##","All xxMILITARY obstacles need an additional xxONE to xxOVERCOME. YYY xxRIGHT Discard.","..\images\obstacles\battle_plans_becky_hall.jpg"

"xxEMPIRE","xxWINTER","Mole Hunt","Spy","##NBSP##xxESPIONAGE##NBSP##xxTECHNOLOGY##NBSP##",xxTHIEVERY,"##NBSP##xxONExxTWO##NBSP##","xxOVERCOME","5","##NBSP##xxPSYCHExxPSYCHExxPSYCHE##NBSP##","xxOVERCOME Discard any unit or guard in play. YYY xxRIGHT Remove lowest xxMILITARY from pool and discard.","..\images\obstacles\tracker_color.jpg"
"xxSETTLED","xxFALL","Samo","Diplomat","##NBSP##xxMILITARY##NBSP##xxDIPLOMACY##NBSP##",xxTACTICS,"##NBSP##xxONExxFOUR##NBSP##","xxOVERCOME","5","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxRIGHT Add xxMILITARY asset to this location. All characters in region take 1 xxPSYCHE.","..\images\obstacles\scholar.jpg"
"xxREDBANK","xxFALL","Drauga","Foe, Eldritch","##NBSP##xxSORCERY##NBSP##xxMILITARY##NBSP##",xxCOMBAT,"##NBSP##xxTHREExxFIVExxSIX##NBSP##","xxOVERCOME","5","##NBSP##xxBODYxxBODY##NBSP##","May not overcome any xxSTABILITY obstacles while Drauga is in play.","..\images\obstacles\andrew-collins-desert-dragon-v7.jpg"


"xxEMPIRE","xxWINTER","Forager's Cloak","Trap, Forager, xxSTARTING","##NBSP##xxSORCERY##NBSP##",xxTHIEVERY,"##NBSP##xxONExxONExxONE##NBSP##","xxOVERCOME","2","##NBSP##xxBODYxxBODYxxBODYxxBODY##NBSP##","xxRIGHT All characters in region take xxPSYCHExxBODY and create xxSORCERY asset at this location. YYY xxOVERCOME If there are no forager cards in play, unlock Yasmina.","..\images\obstacles\haunted_cloak.jpg"
"xxEMPIRE","xxSUMMER","Egalitarian Society","Issue, xxSTARTING","##NBSP##xxSTABILITY##NBSP##",xxCOMMAND,"##NBSP##xxFIVE##NBSP##","xxOVERCOME","3","##NBSP##xxPSYCHExxPSYCHE##NBSP##","xxOVERCOME Add 3 dice to xxSTABILITY pool. YYY xxRIGHT Discard.","..\images\obstacles\byzantine_queen.jpg"
"xxEMPIRE","xxWINTER","Master of Secrets","Spy, Foe, xxSTARTING","##NBSP##xxESPIONAGE##NBSP##xxTECHNOLOGY##NBSP##",xxCOMBAT,"##NBSP##xxTWOxxTWOxxTWO##NBSP##","xxOVERCOME","4","##NBSP##xxBODYxxBODYxxBODY##NBSP##","xxOVERCOME Spend total value of 12 or more xxESPIONAGE resources to unlock Lucia. YYY xxRIGHT Move to location with lowest xxCOMBAT character. Characters at this location take 3 xxBODY.","..\images\obstacles\daria-rashev-rogue3.jpg"
"xxEMPIRE","xxFALL","Darkness Unmasked","Trap, xxSTARTING","##NBSP##xxDIPLOMACY##NBSP##",xxTHIEVERY,"##NBSP##xxONExxTWO##NBSP##","xxOVERCOME","4","##NBSP##xxBODYxxBODY##NBSP##","xxRIGHT Move one diplomat to this location. If there is a diplomat at this location, all characters in region take 3 xxBODY. Discard.","..\images\obstacles\mysterious_actions.jpg"
"xxEMPIRE","xxSPRING","Military Sabotage","Resistance, xxSTARTING","##NBSP##xxMILITARY##NBSP##",xxTHIEVERY,"##NBSP##xxONExxONExxONExxTHREE##NBSP##","xxOVERCOME","4","##NBSP##xxBODYxxBODY##NBSP##","xxOVERCOME Discard all units from play. YYY xxRIGHT Discard.","..\images\obstacles\ben_maier_sabotage.jpg"
"xxEMPIRE","xxSUMMER","Hidden Outpost","Development, xxSTARTING","##NBSP##xxMILITARY##NBSP##",xxSURVIVAL,"##NBSP##xxTHREExxTHREE##NBSP##","xxOVERCOME","6","##NBSP##xxBODYxxBODYxxBODY##NBSP##","Movement to xxREDBANK from this location costs 1. YYY xxOVERCOME May discard a xxMILITARY obstacle in play.","..\images\obstacles\kloftus_outpost.jpg"
"xxEMPIRE","xxSPRING","The Resistance","Resistance, xxSTARTING","##NBSP##xxMILITARY##NBSP##xxSTABILITY##NBSP##",xxCOMMAND,"##NBSP##xxTHREExxFIVE##NBSP##","xxOVERCOME","6","##NBSP##xxPSYCHExxPSYCHExxPSYCHE##NBSP##","xxOVERCOME Discard all guards from play. YYY xxRIGHT Discard.","..\images\obstacles\etienne_hebinger_cover_cities.jpg"
"xxEMPIRE","xxFALL","Master of Secrets","Spy, Foe, xxSTARTING","##NBSP##xxSORCERY##NBSP##xxTECHNOLOGY##NBSP##",xxDISGUISE,"##NBSP##xxTWOxxTWOxxTWO##NBSP##","xxOVERCOME","6","##NBSP##xxPSYCHExxPSYCHExxPSYCHE##NBSP##","xxOVERCOME Spend total value of 12 or more xxSORCERY resources to unlock Lucia. YYY xxRIGHT Move to location with lowest xxLORE character. Characters at this location take 3 xxPSYCHE.","..\images\obstacles\master_secrets_dai_nguyen.jpg"
