title,location,skill,points,prologue1,prologue2,prologue3,prologue4,prologue5,prologue6,challenge1,challenge2,challenge3,challenge4,challenge5,epilogue1,epilogue2,epilogue3,epilogue4
Answer Scorpion-Tail's Riddle,Pearlescent Marsh,xxLORE,7,"'Why would I do that?' Scorpion-Tail exclaimed, feigning indignation. 'It's not in my nature.'","The flowers and dense foliage of the Marsh cast dappled light on the ground. Parin knelt in front of the large beast, her head low, although the sharp claws of Scorpion-Tail sank into the soft ground a mere foot in front of her.",'Why is the Autarch doing this? What's the point? What's her goal?' Parin asked again.,"'Oh Beauteous Visitor, surely you have brought me more than questions?'",Parin frowned. What an irritating thing. Where was Yasmina when you needed her?,,"Scorpion-Tail knows the answers to many questions, but he is prideful and smug, speaking only in riddles",He seeks vulnerability and compassion for none have shown him any,"Scorpion-Tail wants presents, but only as surprises, and he is picky",,,"Scorpion-Tail continued, 'The Autarch was Eighth Born from a Bear Trainer and a Court Dancer. Then the Autarch was taken, the youngest ever to undertake The Harrowing. The Autarch has two-sides, like the warp and weft. Like order and chaos.'","'I, on the other hand, have but one side.'","xxDEVELOPED Develop Pearlescent Marsh, xxASSET Pearlescent Lotus, xxASSET Mask of the Frenzied Beast.",
Help Hogel Woo Pox Face,Hogeltown,xxCHARM,8,"Fuscus smiled broadly. 'I'm here for you old friend, I just need you to say it.'","'Fuscus - help me win over Pox Face!' Hogel said, cheeks burning red.","'Okay pal! I'll do what I can, but I'm no miracle worker. It's up to her. I'm also surprised, I didn't think you were the marrying kind, if you understand me,' Fuscus winked.","'My parents,' Hogel said. 'They say it's time, and I have to attract someone who is worthy of their respect.'","'And Pox Face it is! Well, we just have to get you some new outfits, give you a stylish beard trim, and change your entire personality. After that, well, stranger things have happened.'",,Pox Face is not overly fond of horses,"She is surrounded by jealous suitors, each trained in a different style of poetry",She is wise and well-read and apt to see through secret plans or tricks,Pox Face secretly desires a man who can play the drums in the polyrhythmic style of the Golden Hills Folk,,"'Well, my parents have been telling me it is time,' Pox Face said. 'And you're much different than the well-spoken handsome men who ask for my hand. I can easily tell when you lie. So you may call upon me on the next feast day. Bring honey cakes.' ","xxDEVELOPED Develop Hogeltown, xxASSET Pox Face, xxOBSTACLE Rage of the Forlorn Suitors.",,
Steal Gelshah's Heart,Gelshah's Tower,xxEDGE,8,Yasmina looked out over the ominous landscape before turning back to Keel and Fuscus. 'We can't consecrate the tower until Gelshah's Heart is removed from its center.',"Keel fiddled idly with his lariat before responding, 'You think I'm capable of avoiding the traps of unmaking and somehow coming out alive this gem?'","'If anyone has a hope of doing something like this, it's you!' Yasmina said.",Keel flushed briefly and looked away.,"'Uh, sure, yeah,' Fuscus said, a tremore of fear gracing his voice. 'We believe in you buddy.' Fuscus stared up at the tower, very glad that so far no one thought to include him in this suicide run.",,"An intense cold lingers around the outside of the tower, making it difficult to think or move",Staircases within the tower shift and flip to create a labyrinth capable of trapping even the most careful visitors,"A dark shroud coats the inside of the tower, resisting the glow of torches or fires",,,"Removing the stone releases the curse blighting the tower, beginning the long process of returning the dead to its top.","xxDEVELOPED Develop Gelshah's Tower, xxASSET Gelshah's Heart.",,
Cut Off the Mad Honey Supply,The Obfuscated Bribe,xxEDGE,8,"'It's not only The Obfuscated Bribe,' Parin muttered, poring over the list of merchants in Brightdune. 'Where else could they sell this Mad Honey from?'","'I heard the Amber Winery is dealing in it,' Fuscus said. 'Making filthy money, too.'",'Really? How do you know?',"'I'm always on the lookout for criminal scum. Like the Amber Winery. Oh! Yes, and Naudur's Goods.'",'Since when are you so concerned with crime?' Kanun interjected.,"Fuscus spared him a withering glance before he added, 'Farnaka's Sundries, too, of course. Let's shut them all down.'","The Amber Winery has many clientele that come in at all hours, day and night, making it difficult to access any hidden documents without being spotted",Naudur is a paranoid man; there are rumors his office is trapped to those who dare try to steal,Farnaka's outdoor stall makes it easy for everyone in town to see anyone approach,,,"Many Mad Honey dealers have thankfully been eliminated, leaving the Obfuscated Bribe's Sparkling Plum as the only dealer at large. The Obfuscated Bribe spreads their network to bring more information back to Brightdune.","xxDEVELOPED Develop The Obfuscated Bribe, xxASSET Pin of the Plum, xxOBSTACLE Distrustful Merchants.",,
Broker Peace Between the Three Houses,Golden Hills,xxCOMMAND,7,"Pox Face whispered something into Parin's ear. Parin blushed and her eyes went wide, scanning the gathered audience quickly.","'Really! Is this not serious to you?' Rastag said, glaring at them. His words echoed across the domed hall.","'Like you should talk Rastag - all of a sudden you're the speaker for the Amber Hand?', Virdana said. 'Chief? Hah! Chief Gossiper of the Golden Hills!'",Pox Face raised her eyebrows at Parin and giggled loudly.,"Parin couldn't understand what was going on. Usually this group got along, maybe not well, but well enough. Why such vitriol?",,Anger is rippling through Brightdune and the Settled Lands,"The Dragon of the Critical Word is influencing proceedings, pouring hate into the allies' voices",Pox Face acts juvenile while Rastag and Virdana poke at old hurts,,,"Although words can't be unsaid, tempers have calmed enough to worry about more pressing matters. Develop Golden Hills.",,,
Melt the Hydra's Frozen Tongues,Golden Hills,xxSHADOW,6,"'The weather is nice today,' Pox-Face said as she walked alongside Parin.","'Yes,' Parin said, watching her close friend curiously. They never talked about such trivial things. 'Now, back to our future meeting...'","'Maybe we should have it outside,' Pox-Face mused. 'The breeze is pleasant.'","Parin stopped, glaring at Pox Face. 'Can you not speak of anything important?' Parin demanded. 'We are in trying times, and such frivolity...'",Pox Face's strained expression told Parin all she needed to know.,,The Fireshrine holding the cure to frozen tongues is guarded by the dragon of the frozen voice,The dragon casts utter silence around its home; so much as a snapping twig will get you caught,Its sharp eyes can spot a gnat from fifty leagues away,,,"The Fireshrine's blessing thaws the frozen tongues of Golden Hills, bringing a new realm of peace. Develop Golden Hills.",,,
Escape from Whitehold Prison,Whitehold,xxEDGE,6,"'Anyone dumb enough to stand up for themselves winds up here. Well, unless they were thrown off the wall,' Lucia said, guiding Keel through the halls of Whitehold, the stolen guard's armor heavy on their limber frames. 'More than enough people here to assist in your futile attempts at rebellion.'","'Your confidence in us is inspiring,' Keel said. 'How do you know your way through here so well?'",'It's not my first time breaking out.',"'Yourself... or... others?' Keel said, but Lucia kept walking. Right.","'Quiet now. Keep your head down, and follow my lead,' Lucia said.",,There are several guards patrolling that must be avoided,Many more may be captured; an efficient and reliable escape route is necessary,Some of those who are captured believe the war is already lost and escape or rebellion makes little difference,,,An ally against the Empire is released from the prison. He helps you uncover secret networks of passages within Whitehold.,"xxDEVELOPED Develop Whitehold, xxASSET Zeno the Squidmonger, xxOBSTACLE Guard Captain.",,
Brighten Brightdune Spirits,xxBRIGHTDUNE Brightdune,xxCOMMAND,6,"'We can't reduce the enemy to a faceless horde. We can't lose our humanity. Imperials are victims just as we are, and our struggles are not so black and white.'","'Fuscus, I know!' Parin said angrily. 'But what would you have us do? Give up? Flee? To where?'","'Considering the nuances of the Empire's plight will not give us armor from their arrows,' Parin continued. 'Empathizing with their suffering will not blunt their swords. We must rally behind Brightdune. Thank you for your perspective, Fuscus, but now is not the time.'","Fuscus smiled, nodded, and walked away.",,,The Amber Hand feels they are bearing an undue burden from the war,The Empire's resources seem limitless compared to Brightdune's,Frustration is growing towards the wounded soldiers now reduced to begging,,,"Parin held the soldier's hand as he battled the fever another night. 'I think he's past the worst of it now. Another night, maybe two,' Parin said, smiling weakly toward the young man's mother.","The woman looked back calmly, before responding, 'Respectfully, it will be many nights before we're past the worst of it.'",xxASSET Brightdune Carpet.,
Infiltrate Guild of War,Eastkeep,xxEDGE,7,"Eastkeep, well positioned within a narrow gorge, is further defended by massive stone walls. Fourteen towers are positioned along the walls, dedicated to repelling attacks from without. Centermost along the wall is the Spring Gate, ornamented with marble and gold leaf.","Though the central traffic flowed through the gate, rumors hinted at ancient passages built during the reign of The Farlight.","Furthermore, The Guild of War, one of the tactical resources heavily utilized by the Empire, may be breached. Access to the Guild would allow for military plans to be taken from The Empire.",,,,Guards patrol the passageways at erratic intervals,"Tunnels are difficult to climb, and disgusting sewage flows through them",Entrance to Guild is through a hatch high in a cistern ceiling,,,"The hatch opens, revealing a chamber deep within The Guild of War. Blueprints and plans cover the walls and tables of this small room.","xxDEVELOPED Develop Eastkeep, xxASSET Mirror of Melting.",,
Strengthen Bonds at the Gala of the Brass Apple,Urban,xxCOMMAND,6,"Zarrah held out her hand to Parin of Brightdune, bowing courteously. Of course, Zarrah didn't trust Parin, or anyone from Brightdune for that matter. But this was a time to watch and listen.","Zarrah looked around at the impressive array of guests, from Gravewood, Crescent Hold, Sevan Vale, Brightdune, the Sunriders, and... The Empire. The Subtect was bold enough to show his face.","'We have much to catch up on,' Parin said.","Zarrah nodded again. This would be difficult to navigate. She had sympathy for Brightdune, but the whispers from her spies were troubling. What was the truth? What was Brightdune up to?",,,The Subtect spreads fear and paranoia among Brightdune's allies,Thea of Crescent Hold favors research into technology and military might,Samo of Gravewood trades in secrets and leans toward an isolated existence in the north,,,"Zarrah smiled as she left the feast hall. While still awkward and too transparent, the diplomats from Brightdune had made a good impression. She looked forward to their visits.","xxSETTLED Lily Manor, xxSCENE Barter Luxuries for Zarrah's Favor, xxOBSTACLE The Subtect.",,
Barter Luxuries for Zarrah's Favor,Lily Manor,xxCHARM,8,"'Zarrah, my darling! It is wonderful to see you again,' Fuscus said, a broad smile on his face and his hands spread wide. 'It has been far too long. But, well, current events may have interfered.'","'Hello again, Fuscus,' Zarrah said, her own lips curling into a smile. 'I can imagine, sharing a border with the Empire. As much as I'd like this to be a mere visit, is it safe to assume you have come to ask more from me? I am certain Brightdune needs all the support it can get.'","Fuscus bowed. 'I am afraid so. But I can, of course, sweeten the deal for you. I am never one to ask for something I cannot return. Goods, secrets, you know my abilities, and what I can do for you,' he said, winking.",,,,Zarrah is a firm believer in give and take,Lily Manor has far more luxuries than Brightdune,Zarrah dislikes the taste of Amber wine,,,"Zarrah is willing to trade valuable resources with Brightdune, securing a prosperous relationship between Brightdune and Lily Manor.","xxDEVELOPED Develop Lily Manor, xxASSET Zarrah, xxOBSTACLE Zarrah's Paranoia.",,
Drive Corruption's Heart from the Blighted Lands,Yearly Field,xxSTEEL,8,"'The Autarch is channeling the spirit from Yearly Field, corrupting the land. Soon this corruption will infect everything; plants, animals, maybe even people,' Parin said.","Kanun grumbled, cleaning his sword instead of looking at Parin. Witchcraft was so annoying! A sword should kill everything.","'We found a weakness, though,' Parin said. 'There's a heart. A twisted beating knot of tangled root and fur, both living and unliving. If that is destroyed, it should eliminate the corruption.'","Kanun paused. 'Destroy it,' he said. 'Like... with a sword?'","Parin smirked, 'Yes, Kanun, with a sword.'",,The blighted animals have gone feral and attack anyone uninfected,"Corrupted plants sprout up everywhere, wrapping around the unprepared","Corruption's Heart can move underground, making it hard to find and destroy",,,"With the removal of Corruption's Heart, life begins to bloom again in Yearly Field.","xxDEVELOPED Develop Yearly Field, xxOBSTACLE Corruptions Heart.",,
Create a Pact with the Weaver,Enchanted (Wilderness),xxLORE,7,"High in the mossy gloom of the forest canopy, several glowing eyes carefully watched the clearing below. From within, a scratchy voice said, 'I'm ready for your apology, but I won't forgive you for burning my loom.'","Suddenly, a dark robed form arose from the dust in the clearing. 'I know,' the form said. 'I'm sorry. I held so much fear.'","The robed figure continued, 'May we seek an audience? May we receive your council? May we see what your eyes may see?'","Delicate spindly legs pushed branches aside, revealing the Weaver's striped face. 'You can never see what I see! But you know that, don't you? And your adopted people may speak to me, and you will listen also.'",,,"The Weaver can see the Autarch's fates, but requires a sacrifice to reveal them","The Weaver remembers the Dawncaves, and is impressed by knowledge of the first tribes","The Weaver's lair is home to poisonous vines and mushrooms, clouding thought and action",,,"'It was nice to finally hear your pretty words and promises,' the Weaver said. 'And I will remember them.'","xxASSET The Uncut String, xxOBSTACLE The Weaver.",,
Establish Spy Network,xxEMPIRE Empire,xxSHADOW,6,"Metrodora re-tied her apron yet again, suddenly feeling uncomfortable in her clothes. The Rosy Freetrader was quiet and empty this morning before her guests showed up: an Apprentice in the Guild of Secrets and a young man dressed in the white robes of Harrowing. 'Did you mention to your friend that the Acolytes of Harrowing are older? And, well, not men?'","'I did mention that fact. Repeatedly,' the Apprentice said, fixing her glare towards the awkward looking man in the corner. The Apprentice turned back to Metrodora. 'Are Petros or Adriani able to meet?'","Metrodora nodded. 'Yes. We can use the card room, but this place will be bustling later, so use more discretion. And listen properly this time, Keel!'",,,,"The Rosy Freetrader makes a good base of operations; however, it is a popular watering hole for Imperial guards",The leaders of the Resistance within the Empire are desperate for supplies and aid,"The Older Hoof, a boisterous regular, has become suspicious about who comes and goes from the back card room",,,"We have agents in important positions, but our efforts are facing increased scrutiny,' Petros said, growing more exasperated. 'We appreciate your enthusiasm, but please coordinate with us better in the future.'","xxEMPIRE Rosy Freetrader, xxOBSTACLE Nosy Locals, xxSCENE Befriend the Master of Coin.",,
Befriend the Master of Coin,Rosy Free Trader,xxCHARM,6,"'And if that fails, we'll remove his manhood,' Lucia said calmly, running her finger along the edge of her dagger.","'I don't think- That is, there's no need...' Fuscus tried to reply, at a rare loss for words. 'What I mean to say is, flies like lavender syrup. Or honey, I mean. Could you maybe sheath your dagger while we talk?'",'No. It calms me.',"'Right,' Fuscus said. 'Look, no one climbs the ranks within the Guild of Coin unless they like money. Which means they can be bribed. And at the very least, you must agree that having the Master of Coin benefit from ignoring our questionable finances is better than having him swear vengeance in a pool of his own blood?'",,,The Master of Coin is well paid by the Autarch to look into accounting irregularities amongst Whitehold merchants,"He lives in the Holy Gardens, where citizens dress in finery and speak the proper tongue of the landed class","He enjoys games of logic and skill, like Six Dice and the partners variant of Wall Fall",,,"The Master of Coin smiled broadly, arranging the dice for a split-six points doubler. 'Hah! I win again. I almost feel bad for how good I am. Another game?'",xxDEVELOPED Develop Rosy Freetrader. xxASSET Master of Coin.,,
Host the Tulip Festival,Rural (Urban). Finale.,xxCHARM,9,"'This is no time to throw a party,' Kanun said. 'Wasting time with these frivolities when there are serious matters to attend to.'","Fuscus looked up from tuning the harp and smiled. 'And are we to only fight wars, old friend? These things we do, these battles we fight, these fields we harvest, what is it for?'","Fuscus pointed at the scattered groups beginning to gather in the morning sun. The children of the Amber Hand and the Five-Fold mingled and played together, waiting for the festivities to begin. Some children snuck away with bits of freshly baked bread, apples, and pomegranates. Pox Face's giggling laughter carried down into the valley from further away.","'This,' Fuscus said, his smile widening.",,,"Rastag dominates the music playing, not giving others a chance to lead, and joining in unasked with his discordant setar stylings","Virdana only brought a small offering of stuffed Loomwood apples, the scarcity of which could cause fights and arguments","Pox Face wishes to tell the Story of the Weave, but tradition dictates someone from Golden Hills should tell the tale",,,"What is the weather like during the festival? Who sings the most inspiring song? Who bakes the best dessert? If the Empire invades, will these traditions survive?",Each player in this scene may take an xxASSET from staging area and place in their crafting area.,,
Assassinate Guild Leaders,xxEMPIRE Empire. Finale.,xxSHADOW,9,"'I assure you, they are complicit. And now is the time to remove them from power forever.'","'This is savagery,' Parin said. 'There are other, more effective means.'",Lucia glared at Parin. 'Savagery? I can tell you stories of savagery. This is a kindness.',"Petros stared intently at the map laid out on the table. 'I agree with Lucia. Unless we want the entire rebellion thrown off the wall, we must disrupt their leadership. We can exploit their distrust. Their plans and secrets will die with the guild leaders.'","Petros pointed at the markings in the center of the map. 'We have a sudden opportunity. Many of them are currently here,' Petros said. 'We must strike now.'",,"Petros demands to be involved in the operation, but he is a suspected of treason and watched closely by the Guild of Secrets","Guild leaders send and receive messages in code, making it difficult to pinpoint their precise locations",Each guild has its own insular language and command structure,,,How does the populace respond to the assassinations? What legacy does this leave for Brightdune?,"Add xxPROGRESS xxPROGRESS to every xxOBSTACLE in the Empire. If the total tokens are higher than the obstacle's difficulty, may discard it. Place a xxTHREAT token from track on any xxEMPIRE location.",,
Voyage into the Autarch's Mind,Enchanted (Wilderness). Finale.,xxLORE,9,"Iridescent boteh swirled through Parin's vision, making it difficult to discern reality. If such a concept even made sense here. The visions coalesced into promises broken and loved ones she failed to save. All of her failings were being reflected back. It was all too much. Too overwhelming.","'This is amazing, isn't it!' Yasmina said excitedly. 'I told you it would work! The Autarch can't absorb this much energy without opening herself up. Can you feel it? What she feels? Can you taste what she tastes? We can see her plans, and perhaps place our thoughts inside her mind. Gelshah's Tome of Channeling also mentioned feelings of guilt and shame become amplified, so stay positive!'",,,,,"The rift in the weave shows each character their shadow self, with distorted memories of guilt and shame",Walk through the Arch of Burning Copper as the Autarch did in the Rite of Harrowing,"The Autarch's memories become confused with your own, leaving your identity vulnerable",,,Do any the Autarch's memories become embedded in your character's mind? Do any of your character's memories manifest in the Autarch's mind?,Roll and place 4 xxMAGIC dice at this location. Take stress as normal for xxMAGIC dice.,,
Burgle the Icon of Channeling,Vault (Keep). Finale.,xxEDGE,9,"Keel raised his bow, sighting the executioner towering behind Adriani, his large frame casting a shadow over her. The shot from this distance would be tricky, but not impossible. As he pulled back the string, a gloved hand suddenly grasped his arm, pushing him down against rooftop perch.",'Hold your shot! You'll ruin everything!' Lucia said under her breath. 'She knew the risks getting the location of the Icon to us.',"Keel watched helplessly as Adriani plunged off the wall, falling to the ground below, mercifully out of this sight.",'We have people in position and we need you alive. Honor her sacrifice by helping us steal their precious weapon.',,,"There is a wide yard between the outer and inner vault walls, which is watched by guards posted along the inner wall",The entrance hall inside the vault has whirling blade traps offset a specific number of steps. Novices of Harrowing are trained to walk the hall blindfolded,The Icon is kept in the Chest of Fifteen Eyes. Each eye is bound to a Master of Harrowing,,,What happens to the Imperial Resistance when the Icon is stolen? Does the Guild of Secrets execute any other sympathizers?,Place xxASSET Icon of Channeling in asset staging area. Icon ignores staging area card limits.,,
